Tipo;Cap;Ancho;Alto;Largo;Peso;Volumen;T0
12V250Ah;250;0.268;0.226;0.522;70;0.032;0.86
12V200Ah;200;0.24;0.224;0.522;62.2;0.028;0.86
12V150Ah;150;0.17;0.24;0.485;43.5;0.02;0.86
12V120Ah;120;0.176;0.225;0.409;37.2;0.016;0.86
12V100Ah;100;0.173;0.226;0.328;30.6;0.013;0.86
12V75Ah;75;0.168;0.214;0.259;22.3;0.009;0.86
12V65Ah;65;0.167;0.178;0.348;22;0.01;0.86
12V55Ah;55;0.138;0.216;0.229;17;0.007;0.86
12V40Ah;40;0.165;0.17;0.197;12.5;0.006;0.86
12V38Ah;38;0.165;0.17;0.197;13;0.006;0.86
12V26Ah;26;0.167;0.125;0.167;9.35;0.003;0.86
12V20Ah;20;0.077;0.168;0.182;5.8;0.002;0.86
12V18Ah;18;0.077;0.168;0.182;5.32;0.002;0.86
12V12Ah;12;0.098;0.101;0.151;3.6;0.001;0.86
